Date,xi,sigma,threshold,n_exceedances,fit_success
2018-06-28,-0.44665465960948725,0.015929821485786963,0.015722928652475956,26,True
2018-06-29,-0.44665465960948725,0.015929821485786963,0.015722928652475956,26,True
2018-07-02,-0.44665465960948725,0.015929821485786963,0.015722928652475956,26,True
2018-07-03,-0.44665465960948725,0.015929821485786963,0.015722928652475956,26,True
2018-07-05,-0.4591573921525897,0.016437511784982584,0.015307720663748789,26,True
2018-07-06,-0.4591573921525897,0.016437511784982584,0.015307720663748789,26,True
2018-07-09,-0.4591573921525897,0.016437511784982584,0.015307720663748789,26,True
2018-07-10,-0.4591573921525897,0.016437511784982584,0.015307720663748789,26,True
2018-07-11,-0.4368582334100902,0.015727282049447778,0.015722928652475956,26,True
2018-07-12,-0.4368582334100902,0.015727282049447778,0.015722928652475956,26,True
2018-07-13,-0.4368582334100902,0.015727282049447778,0.015722928652475956,26,True
2018-07-16,-0.4368582334100902,0.015727282049447778,0.015722928652475956,26,True
2018-07-17,-0.4368582334100902,0.015727282049447778,0.015722928652475956,26,True
2018-07-18,-0.4368582334100902,0.015727282049447778,0.015722928652475956,26,True
2018-07-19,-0.4368582334100902,0.015727282049447778,0.015722928652475956,26,True
2018-07-20,-0.4368582334100902,0.015727282049447778,0.015722928652475956,26,True
2018-07-23,-0.4368582334100902,0.015727282049447778,0.015722928652475956,26,True
2018-07-24,-0.4368582334100902,0.015727282049447778,0.015722928652475956,26,True
2018-07-25,-0.4368582334100902,0.015727282049447778,0.015722928652475956,26,True
2018-07-26,-0.4368582334100902,0.015727282049447778,0.015722928652475956,26,True
2018-07-27,-0.3901684898074915,0.014428693137759765,0.016386504706663772,26,True
2018-07-30,-0.3901684898074915,0.014428693137759765,0.016386504706663772,26,True
2018-07-31,-0.3901684898074915,0.014428693137759765,0.016386504706663772,26,True
2018-08-01,-0.3901684898074915,0.014428693137759765,0.016386504706663772,26,True
2018-08-02,-0.3941384310780951,0.014525929623337023,0.016346595747430404,26,True
2018-08-03,-0.433734324593287,0.015182558493199431,0.016578957494953757,26,True
2018-08-06,-0.433734324593287,0.015182558493199431,0.016578957494953757,26,True
2018-08-07,-0.433734324593287,0.015182558493199431,0.016578957494953757,26,True
2018-08-08,-0.433734324593287,0.015182558493199431,0.016578957494953757,26,True
2018-08-09,-0.433734324593287,0.015182558493199431,0.016578957494953757,26,True
2018-08-10,-0.3901396996950536,0.014318183514615931,0.016578957494953757,26,True
2018-08-13,-0.3901396996950536,0.014318183514615931,0.016578957494953757,26,True
2018-08-14,-0.3901396996950536,0.014318183514615931,0.016578957494953757,26,True
2018-08-15,-0.3219651914974309,0.012558688970405485,0.017595281070439162,26,True
2018-08-16,-0.3219651914974309,0.012558688970405485,0.017595281070439162,26,True
2018-08-17,-0.3886707772469953,0.01428965613158445,0.016578957494953757,26,True
2018-08-20,-0.3886707772469953,0.01428965613158445,0.016578957494953757,26,True
2018-08-21,-0.3602514085786296,0.01383644983595653,0.01644810315152378,26,True
2018-08-22,-0.3602514085786296,0.01383644983595653,0.01644810315152378,26,True
2018-08-23,-0.3602514085786296,0.01383644983595653,0.01644810315152378,26,True
2018-08-24,-0.3602514085786296,0.01383644983595653,0.01644810315152378,26,True
2018-08-27,-0.3602514085786296,0.01383644983595653,0.01644810315152378,26,True
